School Name,Borough,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Zip Code,address_full2,Lat,Lon
I.S. 125 - QUEENS,Q,24,Addition,83800000,CAP,Q125,46-02 47 AVENUE,Queens,11377,"46-02 47 AVENUE, Queens 11377",40.74043,-73.91875
P.S. 143 - QUEENS,Q,24,Demo,2688000,CAP,Q143,34-74 113 STREET,Queens,11368,"34-74 113 STREET, Queens 11368",40.75530739,-73.85518295
P.S. 163 - QUEENS,Q,25,Addition,43834000,CAP,Q163,159-01 59 AVENUE,Queens,11365,"159-01 59 AVENUE, Queens 11365",40.74111,-73.80877
P.S. 176 - QUEENS,Q,29,Addition,50247000,CAP,Q176,120-45 235 STREET,Queens,11411,"120-45 235 STREET, Queens 11411",40.68547096,-73.72994296
P.S. 92 - QUEENS,Q,30,Addition,42410002,CAP,Q292,99-01 34TH AVENUE,Queens,11368,"99-01 34TH AVENUE, Queens 11368",40.75598,-73.86874
P.S. 298 - QUEENS,Q,24,New,76850000,CAP,Q298,50-51 98TH STREET,Queens,11368,"50-51 98TH STREET, Queens 11368",40.74112,-73.86339
PRE-K CENTER @ 70-24 47TH AVENUE - QUEENS,Q,24,Lease,2458500,CAP,Q321,70-24 47TH AVENUE,Queens,11377,"70-24 47TH AVENUE, Queens 11377",40.73897323,-73.89353369
P.S. 332 - QUEENS,Q,26,New,66643000,CAP,Q332,210-07 48TH AVENUE,Queens,11364,"210-07 48TH AVENUE, Queens 11364",40.75509,-73.77087
P.S. 335 - QUEENS,Q,27,New,70885000,CAP,Q335,150-15 RALEIGH STREET,Queens,11418,"150-15 RALEIGH STREET, Queens 11418",40.66805537,-73.83721395
IS/HS 336 - QUEENS,Q,78,Lease,19987000,CAP,Q336,124-06 14TH AVENUE,Queens,11356,"124-06 14TH AVENUE, Queens 11356",40.78513,-73.84351
PRE-K CENTER @ 32-52 37TH STREET - QUEENS,Q,30,Lease,6813171,CAP,Q397,32-52 37TH STREET,Queens,11103,"32-52 37TH STREET, Queens 11103",40.7585357,-73.92163692
P.S. 398 - QUEENS,Q,30,Demo,1708504,CAP,Q398,69-01 34TH AVENUE,Queens,11377,"69-01 34TH AVENUE, Queens 11377",40.75276,-73.8967
PRE-K CENTER @ JACKSON AVENUE - QUEENS,Q,30,Lease,8248692,CAP,Q972,27-35 JACKSON AVENUE,Queens,11101,"27-35 JACKSON AVENUE, Queens 11101",40.74816,-73.94031
P.S. 82 - STATEN ISLAND,R,31,Lease,9271638,CAP,R082,104 GORDON STREET,Staten Is,10304,"104 GORDON STREET, Staten Is 10304",40.62431702,-74.08271352
CURTIS HIGH SCHOOL ANNEX - STATEN ISLAND,R,78,Addition,69360558,CAP,R453,105B HAMILTON AVENUE,Staten Is,10301,"105B HAMILTON AVENUE, Staten Is 10301",40.64528,-74.08146
SUSAN E. WAGNER HS ANNEX - STATEN ISLAND,R,78,Addition,24981900,CAP,R462,1220 MANOR ROAD,Staten Is,10314,"1220 MANOR ROAD, Staten Is 10314",40.59856286,-74.12318536
P.S. 14 - BRONX,X,8,Addition,50850000,CAP,X014,3041 BRUCKNER BLVD,Bronx,10461,"3041 BRUCKNER BLVD, Bronx 10461",40.83556,-73.82583
P.S. 46 - BRONX,X,10,Addition,84478000,CAP,X046,279 EAST 196 STREET,Bronx,10458,"279 EAST 196 STREET, Bronx 10458",40.86696,-73.89063
P.S. 46 - BRONX,X,10,Demo,2775000,CAP,X046,279 EAST 196 STREET,Bronx,10458,"279 EAST 196 STREET, Bronx 10458",40.86696,-73.89063
P.S. 56 - BRONX,X,10,Addition,49723000,CAP,X056,341 EAST 207 STREET,Bronx,10467,"341 EAST 207 STREET, Bronx 10467",40.87546,-73.87491
P.S. 317 - BRONX,X,8,New,49393937,CAP,X317,1028 WHITE PLAINS ROAD,Bronx,10472,"1028 WHITE PLAINS ROAD, Bronx 10472",40.82661505,-73.85980465
PRE-K CENTER 2 @ 2490-2500 WEBSTER AVENUE - BRONX,X,10,Lease,11645000,CAP,X432,2490-2500 WEBSTER AVE,Bronx,10458,"2490-2500 WEBSTER AVE, Bronx 10458",40.8606,-73.89184
PRE-K CENTER @ 2510 MARION AVENUE - BRONX,X,10,Lease,9167000,CAP,X444,2510 MARION AVENUE,Bronx,10458,"2510 MARION AVENUE, Bronx 10458",40.86107,-73.89302
P.S. 315 - BRONX,X,10,Lease,14400000,CAP,X779,2865 CLAFLIN AVENUE,Bronx,10468,"2865 CLAFLIN AVENUE, Bronx 10468",40.87359,-73.89974
P.S. 3 - BROOKLYN,K,13,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5811800,CIP,K003,50 JEFFERSON AVENUE,Brooklyn,11216,"50 JEFFERSON AVENUE, Brooklyn 11216",40.68231,-73.955219
I.S. 14 - BROOKLYN,K,22,WATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,8218900,CIP,K014,2424 BATCHELDER STREET,Brooklyn,11235,"2424 BATCHELDER STREET, Brooklyn 11235",40.59349,-73.9378
P.S. 15 - BROOKLYN,K,15,SANDY - INSTALL TEMPORARY BOILERS,550000,CIP,K015,71 SULLIVAN STREET,Brooklyn,11231,"71 SULLIVAN STREET, Brooklyn 11231",40.67708,-74.01187
P.S. 19 - BROOKLYN,K,14,FY16 RESO A PLAYGROUND REDVELOPMENT,345025,CIP,K019,325 SOUTH 3RD STREET,Brooklyn,11211,"325 SOUTH 3RD STREET, Brooklyn 11211",40.70968,-73.95442
P.S. 25 - BROOKLYN,K,16,ROOFS/PARAPETS/EXT MASONRY/EXT DOORS,6297397,CIP,K025,787 LAFAYETTE AVENUE,Brooklyn,11221,"787 LAFAYETTE AVENUE, Brooklyn 11221",40.69125,-73.94067
I.S. 393 - BROOKLYN,K,16,FULL PROGRAM ACCESSIBILITY/LOW VOLTAGE ELECTRICAL,6750000,CIP,K026,1014 LAFAYETTE AVENUE,Brooklyn,11221,"1014 LAFAYETTE AVENUE, Brooklyn 11221",40.69198,-73.93149
P.S. 26 - BROOKLYN,K,16,FY13 RESO A PLAYGROUND REDEVELOPMENT,799345,CIP,K026,1014 LAFAYETTE AVENUE,Brooklyn,11221,"1014 LAFAYETTE AVENUE, Brooklyn 11221",40.69198,-73.93149
P.S. 31 - BROOKLYN,K,14,EXTERIOR MASONRY/PARAPETS,3879237,CIP,K031,75 MESEROLE AVENUE,Brooklyn,11222,"75 MESEROLE AVENUE, Brooklyn 11222",40.726969,-73.954141
I.S. 330 - BROOKLYN,K,14,KITCHEN FLOORING/FLOOD/ANSUL SYSTEM,1348916,CIP,K033,70 TOMPKINS AVENUE,Brooklyn,11206,"70 TOMPKINS AVENUE, Brooklyn 11206",40.69697,-73.94681
P.S. 34 - BROOKLYN,K,14,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,4448000,CIP,K034,131 NORMAN AVENUE,Brooklyn,11222,"131 NORMAN AVENUE, Brooklyn 11222",40.72625,-73.9497
P.S. 44 - BROOKLYN,K,13,PLANYC BOILER/PLANYC CLIMATE CTRL/FIRE ALARM,5862800,CIP,K044,432 MONROE STREET,Brooklyn,11221,"432 MONROE STREET, Brooklyn 11221",40.686213,-73.940859
P.S. 46 - BROOKLYN,K,13,AUDITORIUM UPGRADE,689600,CIP,K046,100 CLERMONT AVENUE,Brooklyn,11205,"100 CLERMONT AVENUE, Brooklyn 11205",40.694537,-73.971645
LYONS COMMUNITY SCHOOL - K,K,14,PARAPETS/FLOOD ELIMINATION/ROOFS/MASONRY/GYM UPG,8853000,CIP,K049,223 GRAHAM AVENUE,Brooklyn,11206,"223 GRAHAM AVENUE, Brooklyn 11206",40.70982,-73.94391
J.H.S. 57 - BROOKLYN,K,16,PUBLIC ADDRESS SYSTEM REPLACEMENT,590000,CIP,K057,125 STUYVESANT AVENUE,Brooklyn,11221,"125 STUYVESANT AVENUE, Brooklyn 11221",40.691468,-73.932254
P.S. 73 - BROOKLYN,K,23,EXT MASONRY/FLOOD ELIMINATION/PARAPETS/ROOFS,10789000,CIP,K073,251 MACDOUGAL STREET,Brooklyn,11233,"251 MACDOUGAL STREET, Brooklyn 11233",40.68046,-73.91037
K753 SPED - BROOKLYN,K,13,LOW VOLTAGE ELEC SYSTEM/ANSUL SYSTEM,706260,CIP,K085,510 CLERMONT AVENUE,Brooklyn,11238,"510 CLERMONT AVENUE, Brooklyn 11238",40.682568,-73.969232
I.S. 88 - BROOKLYN,K,15,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,5896000,CIP,K088,544 7TH AVENUE,Brooklyn,11215,"544 7TH AVENUE, Brooklyn 11215",40.66077,-73.98871
P.S. 95 - BROOKLYN,K,21,PARAPET/ROOFS/EXT MASONRY,4743000,CIP,K095,345 VAN SICKLEN STREET,Brooklyn,11223,"345 VAN SICKLEN STREET, Brooklyn 11223",40.59627531,-73.9750492
P.S. 104 - BROOKLYN,K,20,WATER INFILTRATION/FLOOD/PARAPETS/ROOFS,10521000,CIP,K104,9115 5TH AVENUE,Brooklyn,11209,"9115 5TH AVENUE, Brooklyn 11209",40.61815,-74.0288
P.S. 106 - BROOKLYN,K,32,FY 15 RESO A ROOM CONVERSION,375000,CIP,K106,1328 PUTNAM AVENUE,Brooklyn,11221,"1328 PUTNAM AVENUE, Brooklyn 11221",40.69389,-73.91291
I.S. 349 - BROOKLYN,K,32,SCIENCE LAB UPGRADES,2039000,CIP,K111,35 STARR STREET,Brooklyn,11221,"35 STARR STREET, Brooklyn 11221",40.70027,-73.9281
P.S. 114 - BROOKLYN,K,18,EXTERIOR MASONRY,2188000,CIP,K114,1077 REMSEN AVENUE,Brooklyn,11236,"1077 REMSEN AVENUE, Brooklyn 11236",40.64252,-73.90812
BROOKLYN COMM. HS OF COMMUNICA,K,13,EXTERIOR MASONRY/PARAPETS/ROOFS,10535000,CIP,K117,300 WILLOUGHBY AVENUE,Brooklyn,11205,"300 WILLOUGHBY AVENUE, Brooklyn 11205",40.69256,-73.95834
P.S. 119 - BROOKLYN,K,22,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5447000,CIP,K119,3829 AVENUE K,Brooklyn,11210,"3829 AVENUE K, Brooklyn 11210",40.62570715,-73.93804157
P.S. 130 - BROOKLYN,K,15,WATER PENETRATION THROUGH EXTERIOR/PARAPETS/ROOFS,12025000,CIP,K130,70 OCEAN PARKWAY,Brooklyn,11218,"70 OCEAN PARKWAY, Brooklyn 11218",40.64897,-73.97585
I.S. 136 - BROOKLYN,K,15,RPZ VALVES/LOW VOLTAGE ELEC SYSTEM,1971000,CIP,K136,4004 4TH AVENUE,Brooklyn,11232,"4004 4TH AVENUE, Brooklyn 11232",40.65205218,-74.00694222
I.S. 821 - BROOKLYN,K,15,FY16 RESO A GYMNASIUM UPGRADE,245842,CIP,K136,4004 4TH AVENUE,Brooklyn,11232,"4004 4TH AVENUE, Brooklyn 11232",40.65205218,-74.00694222
P.S. 138 - BROOKLYN,K,17,LIGHTING REPLACEMENT (DCAS),1696100,CIP,K138,760 PROSPECT PLACE,Brooklyn,11216,"760 PROSPECT PLACE, Brooklyn 11216",40.67392,-73.95144
P.S. 152 - BROOKLYN,K,22,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1198890,CIP,K152,725 EAST 23 STREET,Brooklyn,11210,"725 EAST 23 STREET, Brooklyn 11210",40.63272,-73.95457
P.S. 160 - BROOKLYN,K,20,EXTERIOR MASONRY/FLOOD ELMNTN/PARAPETS,5700400,CIP,K160,5105 FORT HAMILTON PARKWAY,Brooklyn,11219,"5105 FORT HAMILTON PARKWAY, Brooklyn 11219",40.63691,-73.99903
P.S. 179 - BROOKLYN,K,20,FY16 RESO A AUDITORIUM UPGRADE,160460,CIP,K179,202 AVENUE C,Brooklyn,11218,"202 AVENUE C, Brooklyn 11218",40.640127,-73.977262
P.S. 188 - BROOKLYN,K,21,SANDY:INT/HEATING/ELEC/FLOOD/CLIMATE/VENT/FA,13757000,CIP,K188,3314 NEPTUNE AVENUE,Brooklyn,11224,"3314 NEPTUNE AVENUE, Brooklyn 11224",40.57703,-74.00053
P.S. 192 - BROOKLYN,K,20,DETERIORATED WINDOW WELL WALLS/FLOOD/PARAPETS/ROOF,5387000,CIP,K192,4715 18 AVENUE,Brooklyn,11204,"4715 18 AVENUE, Brooklyn 11204",40.6288,-73.97954
P.S. 193 - BROOKLYN,K,22,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,1298835,CIP,K193,2515 AVENUE L,Brooklyn,11210,"2515 AVENUE L, Brooklyn 11210",40.62208,-73.95032
P.S. 194 - BROOKLYN,K,22,MASONRY/WINDOWS/ROOFS/PARAPETS,4389000,CIP,K194,3117 AVENUE W,Brooklyn,11229,"3117 AVENUE W, Brooklyn 11229",40.59716,-73.93402
P.S. 195 - BROOKLYN,K,22,SANDY- TEMP BOILER,849500,CIP,K195,131 IRWIN STREET,Brooklyn,11235,"131 IRWIN STREET, Brooklyn 11235",40.580181,-73.943498
